	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
inconnu	0.26	0.11979166666666667	0.11333333333333334	0.043402777777777776	0.74	0.8802083333333333	0.05785123966942148	0.14020833333333332	0.18063871733093645	-0.04206790223548226	0.05136171628614581	-0.056806031754404476	-0.04808472000573828	-0.3539583331470377	0.004258019158827675	-0.3539583327954261	0.0170260777408211	-0.35395833332744264	-0.11497138175824284
innocent	0.4	0.2604166666666667	0.2333333333333333	0.1440972222222222	0.6000000000000001	0.7395833333333333	0.162534435261708	0.13958333333333334	0.1642712448288539	-0.03587730250356719	0.06112677319897428	-0.05658870925203078	-0.05101873124318824	-0.35395833320149334	-0.06609853727644877	-0.35395833299976226	-0.03127486827011139	-0.3539583333276489	-0.1183010026114194
sacrilège	0.16	0.020833333333333332	0.05333333333333333	0.006944444444444444	0.84	0.9791666666666666	0.01652892561983471	0.13916666666666666	0.19274777371279683	-0.04961687097332115	0.03331828949948654	-0.05644382758378172	-0.045856600428111516	-0.35395833267413335	0.1504011638636536	-0.3539583317512533	0.002081542991241747	-0.35395833332732235	-0.11256935391181533
naissant	0.18	0.041666666666666664	0.06666666666666665	0.015625	0.8199999999999998	0.9583333333333335	0.026170798898071623	0.13833333333333334	0.18882393192725777	-0.048124891901240904	0.03694775817459079	-0.05615406424728361	-0.04601321107489283	-0.3539583329625333	0.10067736486494966	-0.3539583324544	0.003930328020317897	-0.35395833332733795	-0.11279538203417205
obscur	0.24	0.10416666666666667	0.08666666666666667	0.03645833333333333	0.7599999999999999	0.8958333333333333	0.04683195592286501	0.1358333333333333	0.17781127909891703	-0.04839211203355377	0.03546530852350673	-0.05528477423778883	-0.04650295542360678	-0.35395833313557334	0.01270598095696851	-0.35395833284364187	-0.02328867602238749	-0.35395833332738896	-0.11350115318700715
saint	0.26	0.125	0.34	0.07465277777777778	0.7399999999999999	0.8749999999999998	0.12947658402203857	0.135	0.17437325626702257	0.020595218791888317	0.1935697532252021	-0.05499501090129057	-0.04667319643796027	-0.35395833315479996	-0.005668593271091871	-0.3539583323951231	0.3327083333333333	-0.35395833332740756	-0.11374612599066658
malheureux	0.64	0.5052083333333334	0.38000000000000006	0.28125	0.36	0.49479166666666674	0.3016528925619834	0.13479166666666664	0.1392101932881304	-0.032826539326328445	0.06091122906824209	-0.054922570067166075	-0.05605447499761731	-0.3539583332245993	-0.11099565235118425	-0.3539583330550044	-0.07096008699261463	-0.35395833332823534	-0.12441215960439644
inhumain	0.3	0.16666666666666666	0.13999999999999999	0.07291666666666667	0.7	0.8333333333333333	0.08677685950413223	0.13333333333333333	0.16781423555992944	-0.04298090435421795	0.04767137825303853	-0.05441548422829414	-0.04702485660170102	-0.3539583331788333	-0.03370128543174472	-0.3539583329378133	-0.019161990023357833	-0.3539583333274476	-0.11425158783054112
faut	0.18	0.046875	0.06666666666666665	0.015625	0.82	0.9531250000000001	0.026170798898071623	0.133125	0.18213069557839337	-0.048124891901240904	0.03694775817459079	-0.054343043394169656	-0.0446553304678836	-0.3539583330037333	0.08177113838276301	-0.3539583324544	0.003930328020317897	-0.3539583333273052	-0.11162585678861392
solennel	0.18	0.046875	0.07333333333333333	0.015625	0.8199999999999998	0.9531250000000002	0.027548209366391182	0.133125	0.18213069557839337	-0.04598713084273785	0.04256286841184863	-0.05434304339416973	-0.04465533046788368	-0.3539583330037333	0.08177113838276301	-0.35395833236650664	0.023923514141260815	-0.3539583333273052	-0.11162585678861403
