	docprops1	docprops2	relfreqs1	relfreqs2	devprops1	devprops2	meanrelfreqs	sd0	sd2	sr0	sr2	sg0	sg2	dd0	dd2	dr0	dr2	dg0	dg2
fil	0.78	0.4583333333333333	2.06	1.012152777777778	0.22	0.5416666666666667	1.2286501377410468	0.3216666666666667	0.2912488122446819	0.49934095150446095	0.4874113079982469	-0.05379237437141768	-0.06156618776238759	-0.3727083332006447	0.04316605619388625	-0.37270833324119246	-0.08599105602978285	-0.37270833332945574	-0.1445432352012882
fils	0.78	0.4583333333333333	2.0399999999999996	1.012152777777778	0.22	0.5416666666666667	1.2245179063360883	0.3216666666666667	0.2912488122446819	0.4924523864304521	0.4797182376380301	-0.05379237437141768	-0.06156618776238759	-0.3727083332006447	0.04316605619388625	-0.372708333242087	-0.08827379177909273	-0.37270833332945574	-0.1445432352012882
peuple	0.84	0.5208333333333334	0.9266666666666667	0.4809027777777778	0.15999999999999998	0.4791666666666667	0.5730027548209367	0.3191666666666666	0.27914860059154695	0.2919664404223228	0.30024948159873904	-0.05260791398530096	-0.06719315683187171	-0.37270833320758534	0.023130671221875287	-0.372708333246097	-0.08503524439019938	-0.3727083333301454	-0.15081562611084454
vaisseau	0.36	0.052083333333333336	0.21999999999999997	0.027777777777777776	0.6399999999999999	0.9479166666666667	0.06749311294765842	0.30791666666666667	0.3665517904980469	0.20463952693202433	0.1899722769848119	-0.04727784224777598	-0.021297305639469563	-0.37270833279441334	0.5360331424269835	-0.37270833297477773	0.12100417298253285	-0.3727083333268874	-0.10306489617086079
prince	0.8	0.5	0.7133333333333332	0.4045138888888889	0.20000000000000004	0.5	0.4683195592286501	0.30000000000000004	0.2670637742089813	0.2447989045683461	0.2254910991741013	-0.04352705102507304	-0.05394150766981742	-0.3727083332085834	0.020545072851278157	-0.3727083332534989	-0.10796333179334672	-0.3727083333295145	-0.13871518465191868
visage	0.56	0.2604166666666667	0.25333333333333335	0.11458333333333333	0.44	0.7395833333333333	0.14325068870523416	0.29958333333333337	0.30865030142643907	0.18622218281054265	0.130343116310425	-0.043329640960720256	-0.03211903583804804	-0.37270833316566937	0.13133054806401856	-0.3727083332332407	-0.0812528665851594	-0.37270833332765346	-0.11533024450458651
enfant	0.44	0.14583333333333334	0.7133333333333333	0.0625	0.5599999999999999	0.8541666666666666	0.19696969696969696	0.2941666666666667	0.3284688415538757	0.36259815105964155	0.5379731507204846	-0.04076331012413417	-0.021449450190149377	-0.3727083330980905	0.2566130545648465	-0.3727083328166269	0.5629166666666666	-0.37270833332707415	-0.10444739206369202
reste	0.82	0.53125	0.49333333333333335	0.26736111111111105	0.18000000000000005	0.46875	0.31404958677685946	0.28874999999999995	0.2534879238769616	0.21626398049441414	0.18459612147397875	-0.038196979287548005	-0.0508595292623398	-0.3727083332129863	0.00769894597398868	-0.37270833324979735	-0.09942468590668391	-0.37270833332966724	-0.13663027526160298
récit	0.34	0.052083333333333336	0.14666666666666664	0.01909722222222222	0.66	0.9479166666666667	0.04545454545454545	0.2879166666666667	0.34544457786384686	0.1823712835851419	0.13007826266025335	-0.03780215915884247	-0.012951255181044688	-0.37270833282435334	0.4976200463507152	-0.37270833298564304	0.02706924985546677	-0.372708333326686	-0.09596076841445866
mémoire	0.6	0.3125	0.2866666666666666	0.13368055555555552	0.4	0.6875	0.16528925619834708	0.2875	0.28759482980778295	0.191125501700028	0.14092226597643373	-0.03760474909448966	-0.030363614546018464	-0.3727083331836334	0.08788871684565436	-0.372708333236251	-0.08118833875411569	-0.37270833332777864	-0.11462810982753557
genou	0.44	0.15625	0.2	0.07465277777777778	0.56	0.84375	0.10055096418732781	0.28375	0.31572731369821766	0.1816058874658076	0.12213060238941074	-0.03582805851531462	-0.01754633311449938	-0.3727083331137734	0.22834534735418643	-0.37270833321204605	-0.06150936005379892	-0.3727083333269969	-0.10123071460918287
oreille	0.32	0.036458333333333336	0.12666666666666668	0.015625	0.6799999999999999	0.9635416666666665	0.03856749311294766	0.2835416666666667	0.34493799558777316	0.17667864994759302	0.11424758869240997	-0.035729353483138215	-0.010250120316902284	-0.3727083326489905	0.5629166666666665	-0.37270833296632694	0.002293548460108541	-0.37270833332659564	-0.09346944032307836
