lemma	F	tc0093	tc0094	tc0096	tc0098	tc0101	tc0113	tc0114	tc0115	tc0116	tc0117	tc0118	tc0163	tc0165	tc0183	tc0189	tc0190	tc0193	tc0196	tc0200	tc0203	tc0204	tc0206	tc0207	tc0219	tc0221	tc0222	tc0224	tc0225	tc0226	tc0227	tc0628	tc0629	tc0630	tc0632	tc0636	tc0637	tc0645	tc0648	tc0649	tc0651	tc0653	tc0654	tc0655	tc0656	tc0657	tc0658	tc0659	tc0661	tc0664
ce paix	19	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1
ce projet	19	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	2	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
ce soupçon	19	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
ce mal	18	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	0	2	1	3	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ce reine	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	0
ce spectacle	18	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	3	0	1	0
ce temple	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0
ce vainqueur	18	1	0	0	1	1	5	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
ce départ	17	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1
ce éclat	17	0	4	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ce empire	17	0	1	2	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	2
